Sum of FY 2013Actual,
Row Labels,Total
Clinical Research,10604
Genetics,7144
Prevention,6686
Biotechnology,5698
Neurosciences,5340
Cancer,5274
Infectious Diseases,4887
Women's Health 5/,3745
Brain Disorders,3708
Behavioral and Social Science,3535
Rare Diseases,3456
Pediatric,3266
Bioengineering,3234
Clinical Trials,3155
HIV/AIDS 6/,2898
Health Disparities 5/,2722
Human Genome,2473
Aging,2429
Minority Health 5/,2428
Mental Health,2174
Cardiovascular,1964
Emerging Infectious Diseases,1804
Biodefense 1/,1692
Immunization,1656
Neurodegenerative,1619
Vaccine Related,1608
Digestive Diseases,1575
Substance Abuse 9/,1525
Nutrition,1524
Stem Cell Research,1273
Health Services,1262
Heart Disease,1230
Lung,1230
Basic Behavioral and Social Science,1172
Diagnostic Radiology,1079
Hematology,1020
Diabetes 2/,1007
Drug Abuse (NIDA Only) 3/,993
Patient Safety,858
Regenerative Medicine,831
Autoimmune Disease,821
Obesity,812
Eye Disease And Disorders Of Vision,774
Orphan Drug,764
Breast Cancer,657
Dementia,650
Stem Cell Research - Nonembryonic - Non-Human,613
Liver Disease,594
Comparative Effectiveness Research,559
Kidney Disease,551
Transplantation,538
Networking and Information Technology R&D 8/,521
Vaccine related (AIDS) 6/,518
Alzheimer's Disease,504
Urologic Diseases,497
Perinatal Period - Conditions Originating in Perinatal Period,486
Dental/Oral and Craniofacial Disease,480
Pain Research,475
Rehabilitation,446
Alcoholism,437
Vector-Borne Diseases,437
Stem Cell Research - Nonembryonic - Human,431
Nanotechnology 8/,430
Depression,415
Contraception/Reproduction,408
Pneumonia & Influenza,407
Heart Disease - Coronary Heart Disease,404
Pain Conditions - Chronic,402
Complementary and Alternative Medicine,380
Atherosclerosis,374
Injury (total) Accidents/Adverse Effects,367
Intellectual and Developmental Disabilities (IDD) 12/,343
Antimicrobial Resistance,325
Tobacco,322
Smoking and Health,321
Influenza,304
Prostate Cancer,286
Chronic Liver Disease and Cirrhosis,282
Stroke,282
Colo-Rectal Cancer,281
Brain Cancer,280
Genetic Testing,272
Pediatric Research Initiative,258
Infant Mortality/ (LBW),253
Sexually Transmitted Diseases/Herpes,242
Tuberculosis,240
Lymphoma,233
Schizophrenia,232
Arthritis,231
Food Safety,229
Sleep Research,229
Gene Therapy,226
Hypertension,222
Assistive Technology,220
Estrogen,218
Mind and Body,210
Lung Cancer,208
Asthma,207
Perinatal - Birth - Preterm (LBW),198
Hepatitis,195
Pediatric AIDS 6/,188
Rural Health,187
Autism,186
Injury - Trauma - (Head and Spine),183
Osteoporosis,164
American Indians / Alaska Natives,160
Stem Cell Research - Embryonic - Non-Human,154
Conditions Affecting the Embryonic and Fetal Periods 12/,151
Neuropathy,151
Malaria,147
Stem Cell Research - Embryonic - Human,146
Organ Transplantation,140
Climate-Related Exposures and Conditions 11/,137
Violence Research,137
Parkinson's Disease,135
Ovarian Cancer,133
Epilepsy,129
Pancreatic Cancer,125
Inflammatory Bowel Disease,114
Pneumonia,113
Multiple Sclerosis,112
Chronic Obstructive Pulmonary Disease,102
Hepatitis - C,101
Cervical Cancer,98
Macular Degeneration,98
Acute Respiratory Distress Syndrome,95
Spinal Cord Injury,94
Topical Microbicides,93
Lupus,92
Injury - Traumatic brain injury,88
Septicemia,88
Cost Effectiveness Research,82
Cystic Fibrosis,78
Infertility,78
Post-Traumatic Stress Disorder (PTSD),77
Muscular Dystrophy,76
Underage Drinking,75
Burden of Illness,72
Liver Cancer,71
Adolescent Sexual Activity,70
Anthrax,70
Sickle Cell Disease,70
Youth Violence,70
Methamphetamine,68
Childhood Leukemia,67
Human Fetal Tissue 7/,67
Substance Abuse Prevention,65
Underage Drinking Ð Prevention & Treatment (NIAAA Only) 13/,62
Crohn's Disease,61
Huntington's Disease,55
Attention Deficit Disorder (ADD),49
Hepatitis - B,48
Polycystic Kidney Disease,40
Stem Cell Research - Umbilical Cord Blood/ Placenta,40
West Nile Virus,40
ALS,39
Uterine Cancer,39
Injury - Childhood Injuries,37
Suicide,37
Food Allergies,36
Stem Cell Research - Umbilical Cord Blood/ Placenta - Human,35
Transmissible Spongiform Encephalopathy (TSE),35
Malaria Vaccine,34
Duchenne/ Becker Muscular Dystrophy,33
Fetal Alcohol Syndrome,33
Neuroblastoma,33
Perinatal - Neonatal Respiratory Distress Syndrome,33
Prescription Drug Abuse,33
Frontotemporal Dementia (FTD),32
Eating Disorders 4/,31
Violence Against Women,31
Child Abuse and Neglect Research,30
Fragile X Syndrome,30
Small Pox,30
Tuberculosis Vaccine,26
Youth Violence Prevention,26
Headaches,25
HPV and/or Cervical Cancer Vaccines,25
Screening And Brief Intervention For Substance Abuse,25
Aphasia,24
Emphysema,24
Scleroderma,21
Suicide Prevention,21
Injury - Unintentional Childhood Injury,20
Lyme Disease,20
Sudden Infant Death Syndrome,20
Tuberous Sclerosis,20
Arctic,19
Digestive Diseases - (Peptic Ulcer),19
Migraines,19
Temporomandibular Muscle/Joint Disorder (TMJD),19
Cerebral Palsy,18
Down Syndrome,18
Neurofibromatosis,17
Teenage Pregnancy,17
Cooley's Anemia,15
Gene Therapy Clinical Trials,15
Otitis Media,14
Dystonia,13
Hodgkin's Disease,13
Rett Syndrome,13
Spinal Muscular Atrophy,13
Psoriasis,12
Anorexia,11
Ataxia Telangiectasia,11
Charcot-Marie-Tooth Disease,11
Fibromyalgia,11
Homelessness,11
Agent Orange & Dioxin,10
Digestive Diseases - (Gallbladder),10
Fibroid Tumors (Uterine),10
Interstitial Cystitis,10
Myotonic Dystrophy,10
Spina Bifida,10
Allergic Rhinitis (Hay Fever),9
Climate Change,8
Lead Poisoning,8
Mucopolysaccharidoses (MPS),8
Osteogenesis Imperfecta,8
Endometriosis,7
Myasthenia Gravis,7
Stem Cell Research - Umbilical Cord Blood/ Placenta - Non-Human,7
Global Warming Climate Change,6
Hydrocephalus,6
Batten Disease,5
Chronic Fatigue Syndrome (ME/CFS),5
Facioscapulohumeral Muscular Dystrophy,5
Tourette Syndrome,4
Vulvodynia,4
Pelvic Inflammatory Disease,3
Pick's Disease,3
Hepatitis - A,2
Diethylstilbestrol (DES),1
Hyperbaric Oxygen,1
Homicide and Legal Interventions,0
Paget's Disease,0
Reye's Syndrome,0
(blank),
Grand Total,142285
